title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
Tank Girl (1995),2.8536585365853657,41,Seven Years in Tibet (1997),"Ice Storm, The (1997)",Amistad (1997),"Edge, The (1997)"
Target (1995),3.0,1,,,,
Taxi Driver (1976),4.1208791208791204,182,"Cable Guy, The (1996)",Chinatown (1974),Psycho (1960),L.A. Confidential (1997)
Telling Lies in America (1997),3.230769230769231,13,Batman (1989),Face/Off (1997),Interview with the Vampire (1994),"Sound of Music, The (1965)"
Temptress Moon (Feng Yue) (1996),1.6666666666666667,3,Chasing Amy (1997),"English Patient, The (1996)",Sense and Sensibility (1995),Star Wars (1977)
Terminal Velocity (1994),2.676470588235294,34,Kolya (1996),"Close Shave, A (1995)","Philadelphia Story, The (1940)","First Wives Club, The (1996)"
Terminator 2: Judgment Day (1991),4.0067796610169495,295,"Terminator, The (1984)","Craft, The (1996)","Firm, The (1993)",True Lies (1994)
"Terminator, The (1984)",3.9335548172757475,301,Terminator 2: Judgment Day (1991),Young Guns (1988),Scream 2 (1997),"Frighteners, The (1996)"
Terror in a Texas Town (1958),1.0,1,,,,
Tetsuo II: Body Hammer (1992),2.6666666666666665,6,Big Night (1996),Beavis and Butt-head Do America (1996),"Edge, The (1997)","Full Monty, The (1997)"
That Darn Cat! (1965),2.473684210526316,19,Austin Powers: International Man of Mystery (1997),Executive Decision (1996),Spawn (1997),Jungle2Jungle (1997)
That Darn Cat! (1997),2.4634146341463414,41,Austin Powers: International Man of Mystery (1997),"Sex, Lies, and Videotape (1989)",Kingpin (1996),Ace Ventura: Pet Detective (1994)
That Old Feeling (1997),3.3636363636363638,11,Alien: Resurrection (1997),In the Line of Fire (1993),Kingpin (1996),Lost Highway (1997)
That Thing You Do! (1996),3.465909090909091,176,Sleepless in Seattle (1993),Batman (1989),Waterworld (1995),Miracle on 34th Street (1994)
The Courtyard (1995),1.0,1,,,,
The Deadly Cure (1996),3.0,2,"English Patient, The (1996)",Mighty Aphrodite (1995),Contact (1997),Fargo (1996)
The Innocent (1994),3.0,4,Alien (1979),William Shakespeare's Romeo and Juliet (1996),Aliens (1986),Amadeus (1984)
Theodore Rex (1995),1.4,5,Being There (1979),Evita (1996),In & Out (1997),Star Trek: First Contact (1996)
They Made Me a Criminal (1939),5.0,1,,,,
"Thieves (Voleurs, Les) (1996)",3.7142857142857144,7,Crash (1996),Dante's Peak (1997),Reservoir Dogs (1992),Raging Bull (1980)
"Thin Blue Line, The (1988)",3.7714285714285714,35,"Crying Game, The (1992)","Hunchback of Notre Dame, The (1996)",Fly Away Home (1996),Secrets & Lies (1996)
"Thin Line Between Love and Hate, A (1996)",2.4166666666666665,12,Basic Instinct (1992),Dances with Wolves (1990),"Full Monty, The (1997)","Close Shave, A (1995)"
"Thin Man, The (1934)",4.15,60,Welcome to the Dollhouse (1995),On Golden Pond (1981),"Ice Storm, The (1997)",William Shakespeare's Romeo and Juliet (1996)
Things to Do in Denver when You're Dead (1995),3.1549295774647885,71,Cinema Paradiso (1988),"Ice Storm, The (1997)","Philadelphia Story, The (1940)",Ulee's Gold (1997)
Thinner (1996),2.4489795918367347,49,Outbreak (1995),Miracle on 34th Street (1994),"Deer Hunter, The (1978)","Hudsucker Proxy, The (1994)"
"Third Man, The (1949)",4.333333333333333,72,Ben-Hur (1959),Ulee's Gold (1997),Bram Stoker's Dracula (1992),"Manchurian Candidate, The (1962)"
Thirty-Two Short Films About Glenn Gould (1993),3.9444444444444446,18,"Time to Kill, A (1996)",Star Trek: Generations (1994),"Frighteners, The (1996)","Saint, The (1997)"
This Is Spinal Tap (1984),3.905759162303665,191,"Edge, The (1997)",Chinatown (1974),Carrie (1976),My Best Friend's Wedding (1997)
"Thousand Acres, A (1997)",3.4054054054054053,37,My Fair Lady (1964),"Wrong Trousers, The (1993)",Singin' in the Rain (1952),Patton (1970)
"Three Caballeros, The (1945)",3.272727272727273,22,Bound (1996),Rosewood (1997),Mimic (1997),Grumpier Old Men (1995)
Three Colors: Blue (1993),4.015625,64,One Fine Day (1996),Crash (1996),Henry V (1989),"Frighteners, The (1996)"
Three Colors: Red (1994),4.0602409638554215,83,What's Eating Gilbert Grape (1993),Conan the Barbarian (1981),"Hunchback of Notre Dame, The (1996)",Die Hard 2 (1990)
Three Colors: White (1994),3.864406779661017,59,Ulee's Gold (1997),Outbreak (1995),Michael (1996),"Ghost and the Darkness, The (1996)"
Three Lives and Only One Death (1996),3.0,1,,,,
"Three Musketeers, The (1993)",3.303370786516854,89,Scream 2 (1997),Mimic (1997),Murder at 1600 (1997),"Manchurian Candidate, The (1962)"
Three Wishes (1995),3.2222222222222223,9,Willy Wonka and the Chocolate Factory (1971),"River Wild, The (1994)",Ulee's Gold (1997),Sleepers (1996)
Threesome (1994),2.838709677419355,31,Kolya (1996),Being There (1979),Cool Hand Luke (1967),Evita (1996)
Tie Me Up! Tie Me Down! (1990),3.1875,32,Dante's Peak (1997),Quiz Show (1994),Fly Away Home (1996),Star Trek: The Motion Picture (1979)
"Tie That Binds, The (1995)",2.4285714285714284,7,Carrie (1976),"Boot, Das (1981)","Bridge on the River Kwai, The (1957)","Ghost and the Darkness, The (1996)"
Tigrero: A Film That Was Never Made (1994),1.0,1,,,,
Time Tracers (1995),1.5,2,Starship Troopers (1997),Scream 2 (1997),"Peacemaker, The (1997)",Air Force One (1997)
"Time to Kill, A (1996)",3.685344827586207,232,Young Guns (1988),Outbreak (1995),Gattaca (1997),Phenomenon (1996)
Timecop (1994),3.096774193548387,31,Some Like It Hot (1959),Singin' in the Rain (1952),Amistad (1997),Mimic (1997)
Tin Cup (1996),3.160621761658031,193,Sleepless in Seattle (1993),Young Guns (1988),Waterworld (1995),Mr. Smith Goes to Washington (1939)
"Tin Drum, The (Blechtrommel, Die) (1979)",3.7,40,Down Periscope (1996),True Romance (1993),"Wrong Trousers, The (1993)",Cop Land (1997)
Tin Men (1987),3.0784313725490198,51,Mystery Science Theater 3000: The Movie (1996),Ulee's Gold (1997),"Close Shave, A (1995)","Craft, The (1996)"
Titanic (1997),4.2457142857142856,350,"River Wild, The (1994)","Abyss, The (1989)",Bram Stoker's Dracula (1992),True Lies (1994)
To Be or Not to Be (1942),3.611111111111111,18,Jackie Brown (1997),Phenomenon (1996),Sabrina (1995),Hoop Dreams (1994)
To Catch a Thief (1955),4.02,50,Michael (1996),Basic Instinct (1992),Kiss the Girls (1997),Young Guns (1988)
To Cross the Rubicon (1991),1.0,1,,,,
To Die For (1995),3.2758620689655173,87,"Sex, Lies, and Videotape (1989)",Harold and Maude (1971),"Remains of the Day, The (1993)",Fargo (1996)
To Gillian on Her 37th Birthday (1996),3.0681818181818183,44,Natural Born Killers (1994),Alien: Resurrection (1997),William Shakespeare's Romeo and Juliet (1996),Henry V (1989)
"To Have, or Not (1995)",2.0,2,Ulee's Gold (1997),Titanic (1997),"Godfather, The (1972)",L.A. Confidential (1997)
To Kill a Mockingbird (1962),4.292237442922374,219,Pinocchio (1940),North by Northwest (1959),On Golden Pond (1981),Glory (1989)
To Live (Huozhe) (1994),3.7857142857142856,14,Jackie Chan's First Strike (1996),Mars Attacks! (1996),Liar Liar (1997),Reservoir Dogs (1992)
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.8947368421052633,57,Mother (1996),Spawn (1997),Citizen Kane (1941),"Adventures of Priscilla, Queen of the Desert, The (1994)"
Tokyo Fist (1995),4.0,1,,,,
Tom & Viv (1994),3.3333333333333335,9,Dumbo (1941),"Craft, The (1996)",Crimson Tide (1995),"Ghost and the Darkness, The (1996)"
Tom and Huck (1995),3.1666666666666665,12,"Great Escape, The (1963)",Cool Hand Luke (1967),Spawn (1997),Mystery Science Theater 3000: The Movie (1996)
Tombstone (1993),3.6666666666666665,108,Cinema Paradiso (1988),Seven Years in Tibet (1997),"Manchurian Candidate, The (1962)",Kolya (1996)
Tommy Boy (1995),2.909090909090909,66,Cinema Paradiso (1988),Ulee's Gold (1997),Happy Gilmore (1996),Kolya (1996)
Tomorrow Never Dies (1997),3.4277777777777776,180,Men in Black (1997),"Philadelphia Story, The (1940)","Mask, The (1994)",GoodFellas (1990)
Top Gun (1986),3.481818181818182,220,Pretty Woman (1990),Michael (1996),Jungle2Jungle (1997),Eraser (1996)
Top Hat (1935),4.0476190476190474,21,Dante's Peak (1997),Amistad (1997),"Professional, The (1994)",Cold Comfort Farm (1995)
Total Eclipse (1995),2.75,4,Alien (1979),Annie Hall (1977),Brazil (1985),Big Night (1996)
Touch (1997),2.7777777777777777,9,Good Will Hunting (1997),Crash (1996),Down Periscope (1996),"Ghost and the Darkness, The (1996)"
Touch of Evil (1958),3.911764705882353,34,Father of the Bride Part II (1995),"Adventures of Priscilla, Queen of the Desert, The (1994)",Amistad (1997),"Hunchback of Notre Dame, The (1996)"
Tough and Deadly (1995),3.0,2,Pulp Fiction (1994),Aliens (1986),"Crow, The (1994)",Crimson Tide (1995)
Touki Bouki (Journey of the Hyena) (1973),1.0,1,,,,
Toy Story (1995),3.8783185840707963,452,"Craft, The (1996)",Down Periscope (1996),Miracle on 34th Street (1994),G.I. Jane (1997)
Trainspotting (1996),3.884,250,"Devil's Advocate, The (1997)","Crying Game, The (1992)",Pulp Fiction (1994),"Cable Guy, The (1996)"
"Transformers: The Movie, The (1986)",2.84375,32,Kolya (1996),Fly Away Home (1996),Rosewood (1997),Beautiful Girls (1996)
Traveller (1997),3.3076923076923075,13,Dances with Wolves (1990),Miracle on 34th Street (1994),Jurassic Park (1993),"Frighteners, The (1996)"
"Treasure of the Sierra Madre, The (1948)",4.1,80,Crash (1996),Rosewood (1997),Benny & Joon (1993),My Left Foot (1989)
Trees Lounge (1996),3.24,50,Kolya (1996),Event Horizon (1997),Starship Troopers (1997),Ben-Hur (1959)
Trial and Error (1997),2.5217391304347827,23,"Great Escape, The (1963)","Crying Game, The (1992)",Cool Hand Luke (1967),Patton (1970)
Trial by Jury (1994),2.4285714285714284,7,"Adventures of Priscilla, Queen of the Desert, The (1994)",Butch Cassidy and the Sundance Kid (1969),"Birdcage, The (1996)","First Wives Club, The (1996)"
"Trigger Effect, The (1996)",3.2,35,Singin' in the Rain (1952),Jungle2Jungle (1997),"Deer Hunter, The (1978)",Bonnie and Clyde (1967)
True Crime (1995),3.3333333333333335,9,Being There (1979),Army of Darkness (1993),Henry V (1989),Ulee's Gold (1997)
True Lies (1994),3.5625,208,Kiss the Girls (1997),"Firm, The (1993)",One Fine Day (1996),Shine (1996)
True Romance (1993),3.6153846153846154,104,Ulee's Gold (1997),Bonnie and Clyde (1967),"Bridge on the River Kwai, The (1957)",Harold and Maude (1971)
"Truman Show, The (1998)",2.909090909090909,11,Mother (1996),Return of the Jedi (1983),Star Trek IV: The Voyage Home (1986),Star Trek: The Wrath of Khan (1982)
Trust (1990),3.789473684210526,19,Dragonheart (1996),Cold Comfort Farm (1995),Stargate (1994),Primal Fear (1996)
"Truth About Cats & Dogs, The (1996)",3.485294117647059,272,"Craft, The (1996)",Butch Cassidy and the Sundance Kid (1969),Bound (1996),"Ice Storm, The (1997)"
"Truth or Consequences, N.M. (1997)",2.0,3,George of the Jungle (1997),Dante's Peak (1997),Broken Arrow (1996),Independence Day (ID4) (1996)
Turbo: A Power Rangers Movie (1997),1.8,5,Conan the Barbarian (1981),Cinderella (1950),Dumbo (1941),Mary Poppins (1964)
Turbulence (1997),2.5652173913043477,23,Secrets & Lies (1996),Butch Cassidy and the Sundance Kid (1969),"Room with a View, A (1986)",My Fair Lady (1964)
"Turning, The (1992)",2.5,2,"Godfather, The (1972)",Starship Troopers (1997),Tomorrow Never Dies (1997),Conspiracy Theory (1997)
Twelfth Night (1996),3.413793103448276,29,"Net, The (1995)",Batman Forever (1995),Scream 2 (1997),Basic Instinct (1992)
Twelve Monkeys (1995),3.798469387755102,392,Alien: Resurrection (1997),Good Will Hunting (1997),Star Trek: The Wrath of Khan (1982),"Adventures of Priscilla, Queen of the Desert, The (1994)"
Twilight (1998),2.5,4,Dead Man Walking (1995),Platoon (1986),Mission: Impossible (1996),"Peacemaker, The (1997)"
Twin Town (1997),2.1666666666666665,6,"Long Kiss Goodnight, The (1996)",Sabrina (1995),Heat (1995),Jerry Maguire (1996)
Twisted (1996),3.5,6,Dante's Peak (1997),Evita (1996),Volcano (1997),Lost Highway (1997)
Twister (1996),3.2150170648464163,293,Independence Day (ID4) (1996),"Game, The (1997)",Jungle2Jungle (1997),Dante's Peak (1997)
Two Bits (1995),2.2,5,Annie Hall (1977),Alien (1979),"Bridge on the River Kwai, The (1957)",Cold Comfort Farm (1995)
Two Deaths (1995),2.25,4,Beauty and the Beast (1991),Butch Cassidy and the Sundance Kid (1969),Chinatown (1974),"Clockwork Orange, A (1971)"
Two Friends (1986) ,3.0,1,,,,
Two Much (1996),2.4285714285714284,7,"Devil's Advocate, The (1997)","Devil's Own, The (1997)",Jungle2Jungle (1997),It's a Wonderful Life (1946)
Two if by Sea (1996),2.6,25,"Manchurian Candidate, The (1962)","Philadelphia Story, The (1940)","Great Escape, The (1963)",Good Will Hunting (1997)
Two or Three Things I Know About Her (1966),3.75,4,Chinatown (1974),Benny & Joon (1993),Ben-Hur (1959),Dead Poets Society (1989)
U Turn (1997),3.359375,64,Patton (1970),On Golden Pond (1981),What's Eating Gilbert Grape (1993),Arsenic and Old Lace (1944)
U.S. Marshalls (1998),3.0,9,"Remains of the Day, The (1993)","Princess Bride, The (1987)",George of the Jungle (1997),Beavis and Butt-head Do America (1996)
Ulee's Gold (1997),3.760869565217391,184,GoldenEye (1995),"Last of the Mohicans, The (1992)",Being There (1979),Star Trek: The Motion Picture (1979)
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.761904761904762,21,Crash (1996),Army of Darkness (1993),Eraser (1996),Executive Decision (1996)
"Unbearable Lightness of Being, The (1988)",3.4565217391304346,92,Crash (1996),"Sex, Lies, and Videotape (1989)",Annie Hall (1977),"Wrong Trousers, The (1993)"
Under Siege (1992),3.2903225806451615,124,Mimic (1997),"Manchurian Candidate, The (1962)",Jungle2Jungle (1997),Basic Instinct (1992)
Under Siege 2: Dark Territory (1995),2.4583333333333335,48,Amistad (1997),Down Periscope (1996),"Peacemaker, The (1997)",As Good As It Gets (1997)
Underground (1995),2.8,5,Butch Cassidy and the Sundance Kid (1969),"Bridge on the River Kwai, The (1957)",Cool Hand Luke (1967),"Sting, The (1973)"
"Underneath, The (1995)",2.75,4,Apocalypse Now (1979),Alien (1979),Benny & Joon (1993),Bram Stoker's Dracula (1992)
Underworld (1997),2.5,4,Kiss the Girls (1997),Scream 2 (1997),Fly Away Home (1996),Jackie Chan's First Strike (1996)
Unforgettable (1996),3.323529411764706,34,Down Periscope (1996),Dave (1993),Some Like It Hot (1959),Real Genius (1985)
Unforgiven (1992),3.868131868131868,182,Henry V (1989),"Devil's Advocate, The (1997)",Ulee's Gold (1997),"English Patient, The (1996)"
Unhook the Stars (1996),2.5,10,Clerks (1994),"Firm, The (1993)",Hoop Dreams (1994),"Graduate, The (1967)"
Unstrung Heroes (1995),3.3181818181818183,22,"Ice Storm, The (1997)",Con Air (1997),Kiss the Girls (1997),"Truth About Cats & Dogs, The (1996)"
Until the End of the World (Bis ans Ende der Welt) (1991),2.8260869565217392,23,Kiss the Girls (1997),Executive Decision (1996),Michael (1996),Fly Away Home (1996)
Unzipped (1995),3.5454545454545454,11,Reservoir Dogs (1992),Glory (1989),Maverick (1994),Courage Under Fire (1996)
Up Close and Personal (1996),3.1882352941176473,85,Ghost (1990),"Great Escape, The (1963)",Crimson Tide (1995),Star Trek VI: The Undiscovered Country (1991)
Up in Smoke (1978),3.25531914893617,47,Ulee's Gold (1997),Amistad (1997),Secrets & Lies (1996),My Left Foot (1989)
"Usual Suspects, The (1995)",4.385767790262173,267,Alien: Resurrection (1997),Cold Comfort Farm (1995),Sling Blade (1996),L.A. Confidential (1997)
Vampire in Brooklyn (1995),1.8333333333333333,12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Like Water For Chocolate (Como agua para chocolate) (1992),"Maltese Falcon, The (1941)",My Fair Lady (1964)
"Van, The (1996)",2.6666666666666665,6,Down Periscope (1996),Cop Land (1997),"Ice Storm, The (1997)","Postino, Il (1994)"
Vanya on 42nd Street (1994),3.5925925925925926,27,101 Dalmatians (1996),Ulee's Gold (1997),Stargate (1994),Strictly Ballroom (1992)
Vegas Vacation (1997),2.4,75,Beavis and Butt-head Do America (1996),Cop Land (1997),Mystery Science Theater 3000: The Movie (1996),Down Periscope (1996)
Venice/Venice (1992),1.0,2,,,,
Vermin (1998),2.0,2,"Princess Bride, The (1987)",In & Out (1997),Ben-Hur (1959),"Boot, Das (1981)"
Vermont Is For Lovers (1992),1.0,1,,,,
Vertigo (1958),4.251396648044692,179,Rear Window (1954),Some Like It Hot (1959),12 Angry Men (1957),Harold and Maude (1971)
"Very Brady Sequel, A (1996)",2.3978494623655915,93,As Good As It Gets (1997),"Peacemaker, The (1997)","Postino, Il (1994)",Arsenic and Old Lace (1944)
"Very Natural Thing, A (1974)",1.0,1,,,,
Victor/Victoria (1982),3.3376623376623376,77,Scream 2 (1997),Kolya (1996),"Lost World: Jurassic Park, The (1997)","Adventures of Priscilla, Queen of the Desert, The (1994)"
"Vie est belle, La (Life is Rosey) (1987)",1.0,1,,,,
Village of the Damned (1995),2.6818181818181817,22,"Hudsucker Proxy, The (1994)","Wrong Trousers, The (1993)",Little Women (1994),Kolya (1996)
Virtuosity (1995),2.736842105263158,38,Sense and Sensibility (1995),Little Women (1994),Ulee's Gold (1997),Fly Away Home (1996)
"Visitors, The (Visiteurs, Les) (1993)",3.5,2,Contact (1997),Four Weddings and a Funeral (1994),"Full Monty, The (1997)",In & Out (1997)
Volcano (1997),2.808219178082192,219,Down Periscope (1996),Jungle2Jungle (1997),Absolute Power (1997),Dante's Peak (1997)
Wag the Dog (1997),3.510948905109489,137,On Golden Pond (1981),Bound (1996),"Right Stuff, The (1983)","Frighteners, The (1996)"
Waiting for Guffman (1996),4.127659574468085,47,"Manchurian Candidate, The (1962)",Miracle on 34th Street (1994),Happy Gilmore (1996),William Shakespeare's Romeo and Juliet (1996)
Waiting to Exhale (1995),2.5,16,Kolya (1996),Amistad (1997),Real Genius (1985),Kingpin (1996)
"Walk in the Clouds, A (1995)",3.2857142857142856,63,G.I. Jane (1997),What's Eating Gilbert Grape (1993),Waterworld (1995),Ransom (1996)
"Walk in the Sun, A (1945)",3.0,1,,,,
Walkabout (1971),3.8461538461538463,26,Happy Gilmore (1996),Beautiful Girls (1996),Amistad (1997),Maverick (1994)
"Walking Dead, The (1995)",2.25,4,Ben-Hur (1959),Event Horizon (1997),Conspiracy Theory (1997),What's Eating Gilbert Grape (1993)
Walking and Talking (1996),3.625,8,Fly Away Home (1996),Donnie Brasco (1997),G.I. Jane (1997),"Game, The (1997)"
Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851,67,Seven Years in Tibet (1997),"Manchurian Candidate, The (1962)","Close Shave, A (1995)","Wrong Trousers, The (1993)"
